#Organism Name	Organism Groups	Strain	BioSample	BioProject	Assembly	Level	Size(Mb)	GC%	Replicons	WGS	Scaffolds	CDS	Release Date	GenBank FTP	RefSeq FTP	Test
Rhizobium aethiopicum	Bacteria;Pseudomonadota;Alphaproteobacteria	HBR26	SAMN04487815	PRJEB14988	GCA_900094625.1	Scaffold	6.55759	61.1		FMAJ01	62	6019	2016-08-03T00:00:00ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/094/625/GCA_900094625.1_IMG-taxon_2615840624_annotated_assembly		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/094/625/GCF_900094625.1_IMG-taxon_2615840624_annotated_assembly	Rhizobium aethiopicum
Rhizobium altiplani	Bacteria;Pseudomonadota;Alphaproteobacteria	BR 10423	SAMN04259806	PRJNA301785	GCA_001542405.1	Scaffold	8.09986	59.5		LNCD01	152	7360	2016-01-28T00:00:00Z		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/542/405/GCF_001542405.1_ASM154240v1	Rhizobium altiplani
Rhizobium anhuiense	Bacteria;Pseudomonadota;Alphaproteobacteria	CGMCC 1.12621	SAMD00244951	PRJDB10509	GCA_014638185.1	Scaffold	7.12792	61.1		BMFI01	58	6632	2020-09-11T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/638/185/GCA_014638185.1_ASM1463818v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/638/185/GCF_014638185.1_ASM1463818v1	Rhizobium anhuiense
Rhizobium bangladeshense	Bacteria;Pseudomonadota;Alphaproteobacteria	BLR175	SAMN18219174	PRJNA627789	GCA_017357245.1	Complete	6.34861	60.8932	chromosome:NZ_CP071612.1/CP071612.1; plasmid p1:NZ_CP071613.1/CP071613.1; plasmid p2:NZ_CP071614.1/CP071614.1; plasmid p3:NZ_CP071615.1/CP071615.1; plasmid p4:NZ_CP071616.1/CP071616.1; plasmid p5:NZ_CP071617.1/CP071617.1		6	5837	2021-03-16T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/357/245/GCA_017357245.1_ASM1735724v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/357/245/GCF_017357245.1_ASM1735724v1	Rhizobium bangladeshense
Rhizobium binae	Bacteria;Pseudomonadota;Alphaproteobacteria	BLR195	SAMN18219163	PRJNA627791	GCA_017357225.1	Complete	7.05529	61.102	chromosome:NZ_CP071604.1/CP071604.1; plasmid p1:NZ_CP071605.1/CP071605.1; plasmid p2:NZ_CP071606.1/CP071606.1; plasmid p3:NZ_CP071607.1/CP071607.1; plasmid p4:NZ_CP071608.1/CP071608.1; plasmid p5:NZ_CP071609.1/CP071609.1; plasmid p6:NZ_CP071610.1/CP071610.1; plasmid p7:NZ_CP071611.1/CP071611.1		8	6480	2021-03-16T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/357/225/GCA_017357225.1_ASM1735722v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/357/225/GCF_017357225.1_ASM1735722v1	Rhizobium binae
Rhizobium changzhiense	Bacteria;Pseudomonadota;Alphaproteobacteria	WYCCWR 11279	SAMN14341976	PRJNA611647	GCA_013087625.1	Scaffold	6.59008	61.1		JABFCQ01	19	6108	2020-05-14T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/087/625/GCA_013087625.1_ASM1308762v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/087/625/GCF_013087625.1_ASM1308762v1	Rhizobium changzhiense
Rhizobium chutanense	Bacteria;Pseudomonadota;Alphaproteobacteria	C5	SAMN07627103	PRJNA403813	GCA_002531935.1	Contig	6.88366	61.4		NWSV01	97	6405	2017-10-12T00:00:00Z		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/531/935/GCF_002531935.1_ASM253193v1	Rhizobium chutanense
Rhizobium dioscoreae	Bacteria;Pseudomonadota;Alphaproteobacteria	S-93	SAMD00190241	PRJDB8859	GCA_009176305.1	Contig	6.72652	59.7		BLAJ01	53	6250	2019-10-15T21:01:00Z		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/176/305/GCF_009176305.1_ASM917630v1	Rhizobium dioscoreae
Rhizobium ecuadorense	Bacteria;Pseudomonadota;Alphaproteobacteria	CNPSO 671	SAMN03779945	PRJNA287284	GCA_001187535.1	Contig	7.3835	61.1		LFIO01	1891	7189	2015-07-27T00:00:00		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/187/535/GCF_001187535.1_ASM118753v1	Rhizobium ecuadorense
Rhizobium esperanzae	Bacteria;Pseudomonadota;Alphaproteobacteria	CNPSo 668	SAMN06555453	PRJNA378648	GCA_002204185.1	Contig	6.29406	61.1		MXPU01	77	5867	2017-06-21T00:00:00		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/185/GCF_002204185.1_ASM220418v1	Rhizobium esperanzae
Rhizobium etli CFN 42	Bacteria;Pseudomonadota;Alphaproteobacteria	CFN 42	SAMN02603106	PRJNA13932	GCA_000092045.1	Complete	6.53023	61.0458	chromosome:NC_007761.1/CP000133.1; plasmid p42a:NC_007762.1/CP000134.1; plasmid p42b:NC_007763.1/CP000135.1; plasmid p42c:NC_007764.1/CP000136.1; plasmid p42d:NC_004041.2/U80928.5; plasmid p42e:NC_007765.1/CP000137.1; plasmid p42f:NC_007766.1/CP000138.1		5968	2006-02-01T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/045/GCA_000092045.1_ASM9204v1		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/045/GCF_000092045.1_ASM9204v1	Rhizobium etli
Rhizobium favelukesii	Bacteria;Pseudomonadota;Alphaproteobacteria	LPU83	SAMEA3138925	PRJEB4920	GCA_000577275.2	 Chromosome	7.56965	59.5503	chromosome:NZ_HG916852.1/HG916852.1; plasmid pLPU83b:NZ_CBYB000000000.1/CBYB000000000.1; plasmid pLPU83a:NZ_HG916853.1/HG916853.1; plasmid pLPU83c:NZ_HG916854.1/HG916854.1; plasmid pLPU83d:NZ_HG916855.1/HG916855.1	CBYB01	62	7399	2014-02-11T00:00:00ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/577/275/GCA_000577275.2_LPU83		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/577/275/GCF_000577275.2_LPU83	Rhizobium favelukesii
